"日付","トランザクションステータス","トランザクションの種類","注文番号","商品の詳細","商品価格合計","プロモーション割引合計","Amazon手数料","その他","合計 (JPY)"
"2025/11/30","留保中","注文に対する支払い","249-9532978-4377409","[ひあめ] 晴れ雨兼用 折りたたみ傘 スマホサイズ UPF50+ 紫外線99%カ...","1164","0","-664","103","603"
"2025/11/30","支払い実行済み","注文に対する支払い","503-8953615-0098202","【毛髪診断士推奨】ハディエント 炭酸シャンプー [ オーガニック ヴィーガン ス...","4000","-400","-886","316","3030"
"2025/11/30","支払い実行済み","サービス料金","2048144f-6796-4335-afe9-b25001911a65","クーポン参加料金","0","0","-165","0","-165"
"2025/11/30","支払い実行済み","サービス料金","2048144f-6796-4335-afe9-b25001911a65","クーポンパフォーマンスに基づく料金","0","0","-54","0","-54"
"2025/11/30","留保中","注文に対する支払い","249-6592882-2572658","【毛髪診断士推奨】ハディエント 炭酸シャンプー [ オーガニック ヴィーガン ス...","3600","0","-886","316","3030"
"2025/11/29","留保中","注文に対する支払い","250-4250583-9709445","【毛髪診断士推奨】ハディエント 炭酸シャンプー [ オーガニック ヴィーガン ス...","4000","-400","-886","316","3030"
"2025/11/29","支払い実行済み","注文に対する支払い","250-5483343-1809458","【毛髪診断士推奨】ハディエント 炭酸シャンプー [ オーガニック ヴィーガン ス...","4000","-400","-886","316","3030"
"2025/11/29","留保中","注文に対する支払い","503-0044463-8080646","【毛髪診断士推奨】ハディエント 炭酸シャンプー [ オーガニック ヴィーガン ス...","3600","0","-886","316","3030"
"2025/11/29","留保中","注文に対する支払い","250-6944055-9177409","[ひあめ] 晴れ雨兼用 折りたたみ傘 スマホサイズ UPF50+ 紫外線99%カ...","1164","0","-664","103","603"
"2025/11/29","留保中","注文に対する支払い","250-3695053-7775800","[ひあめ] 晴れ雨兼用 折りたたみ傘 スマホサイズ UPF50+ 紫外線99%カ...","1164","0","-664","103","603"
"2025/11/28","留保中","注文に対する支払い","250-3070196-5130206","【毛髪診断士推奨】ハディエント 炭酸シャンプー [ オーガニック ヴィーガン ス...","8618","0","-1496","750","7872"
"2025/11/28","留保中","注文に対する支払い","503-3047158-3419854","【毛髪診断士推薦】hadient トリートメント 洗い流す 酸熱トリートメント ...","2255","-226","-698","178","1509"
"2025/11/28","支払い実行済み","注文に対する支払い","S03-2317623-0111813","【毛髪診断士推薦】hadient トリートメント 洗い流す 酸熱トリートメント ...","0","0","-1184","0","-1184"
"2025/11/28","留保中","注文に対する支払い","249-7686142-1791853","【毛髪診断士推奨】ハディエント 炭酸シャンプー [ オーガニック ヴィーガン ス...","10200","-1020","-1564","806","8422"
"2025/11/28","支払い実行済み","注文に対する支払い","S03-2317623-0111813","【毛髪診断士推奨】ハディエント 炭酸シャンプー [ オーガニック ヴィーガン ス...","0","0","-592","0","-592"
"2025/11/28","留保中","注文に対する支払い","503-5217543-2468623","[ひあめ] 晴れ雨兼用 折りたたみ傘 スマホサイズ UPF50+ 紫外線99%カ...","1164","0","-664","103","603"
"2025/11/28","留保中","注文に対する支払い","503-3740274-0969422","【毛髪診断士推奨】ハディエント 炭酸シャンプー [ オーガニック ヴィーガン ス...","6345","-635","-1147","493","5056"
"2025/11/28","留保中","注文に対する支払い","250-6758942-5531838","[ひあめ] 晴れ雨兼用 折りたたみ傘 スマホサイズ UPF50+ 紫外線99%カ...","1164","0","-664","103","603"
