asin,title_ja,accounts,account_count,matched_categories,matched_keywords
B000K82WFI,大塚製薬 ポカリスエット 500ml×24本,"base_account_1,base_account_2",2,medical,薬
B0015R7EVU,【第3類医薬品】アリナミンEXプラス 270錠,"base_account_1,base_account_2",2,medical,"医薬品, 薬"
B00188U8Q4,ゴールドジム(GOLD'S GYM) マルチビタミン&ミネラル 360粒,"base_account_1,base_account_2",2,"child, medical","ロリ, サプリメント"
B0019GXU4M,Del Monte デルモンテ 食塩無添加トマトジュース900g×12【.co.jp限定】,"base_account_1,base_account_2",2,child,ロリ
B0093FWYNE,アミノバイタル 味の素 GOLD グレープフルーツ味 粉末 30本入箱 アミノ酸 4000mg BCAA EAA コンディショニング,"base_account_1,base_account_2",2,medical,サプリメント
B00CD278N0,Nutro ナチュラルチョイス 成猫用 室内猫用 アダルト チキン 2kg ドライフード 総合栄養食 1歳以上 キャットフード 猫 厳選自然素材 下部尿路の健康維持 香料・着色料 無添加 ニュートロ,"base_account_1,base_account_2",2,adult,アダルト
B00CWXQX90,Pixio PX248 Wave Black ゲーミングモニター 23.8インチ 200Hz FHD スピーカー内蔵 2年保証 30日間返品保証,"base_account_1,base_account_2",2,adult,AV
B00CWXR15K,Pixio PX248 Wave White ゲーミングモニター 白 ホワイト 23.8インチ 200Hz FHD スピーカー内蔵 2年保証 30日間返品保証,"base_account_1,base_account_2",2,adult,AV
B00CWXR5FG,Pixio PX248 Wave Pastel Blue ゲーミングモニター パステルブルー 23.8インチ 200Hz FHD スピーカー内蔵 2年保証 30日間返品保証,"base_account_1,base_account_2",2,adult,AV
B00CWXRI44,Pixio PS1S Wave Black モニターアーム シングル 黒 ブラック 大型 上下 左右 32インチ 24インチ 27インチ,"base_account_1,base_account_2",2,adult,AV
B00CWXRK3S,Pixio PS1S Wave White モニターアーム 白 ホワイト シングル 大型 上下 左右 32インチ 24インチ 27インチ パステルカラー,"base_account_1,base_account_2",2,adult,AV
B00CWXRT98,Pixio PX278 WAVE White ゲーミングモニター 27インチ 180Hz WQHD ホワイト 白 かわいい,"base_account_1,base_account_2",2,adult,AV
B00ENWQYNS,秋田県産 あきたこまち 無洗米 5kg,"base_account_1,base_account_2",2,child,ロリ
B00EPYB8LC,神明 【精米】 北海道産 白米 ゆめぴりか 5kg 令和6年産,"base_account_1,base_account_2",2,child,ロリ
