asin,sku,title_ja,category,brand,selling_price,risk_score,risk_level,matched_keywords,matched_categories
B0F5HVW3LC,b-B0F5HVW3LC-20251130212231,サイバーパンク2077 アルティメットエディション -Switch2,,,9830.0,0,safe,,
B0FKRG7PT5,b-B0FKRG7PT5-20251130212231,龍が如く 極 - Switch2,,,3260.0,0,safe,,
B0FR8LGSYC,b-B0FR8LGSYC-20251128101757,【公式】オットキャスト MINI Slim Ottocast 新型ミニCarPlay Android Auto ワイヤレスUSBカーアダプター ブラック 2025最新 アンドロイドオート＆カープレイ無線化接続adapter 純正有線CarPlay/Android Auto搭載車適合 iPhone＆Androidスマホ用 ナビ 音楽 ハンズフリー通話 メッセージ受送信対応【技適認証取得済み】,,,8370.0,0,safe,,
B086WCLSZN,b-B086WCLSZN-20251127193848,タオル研究所 [ボリュームリッチ] #003 フェイスタオル チャコールグレー 10枚セット ホテル仕様 厚手 ふかふか ボリューム 高速吸水 耐久性 綿100% 480GSM JapanTechnology,,,3920.0,0,safe,,
B09P9GQ126,b-B09P9GQ126-20251127193847,"【SONYライセンス商品】ホリ ファイティングコマンダー OCTA for PlayStation®5, PlayStation®4, PC【PS5,PS4両対応】",,,7460.0,0,safe,,
B0DXC6SV8T,b-B0DXC6SV8T-20251127193847,Omegatech【ドイツの技術】 バックドアダンパー 自由停止 スズキ ジムニーJB64/JB74W/JC74専用 途中止まり 無段階調整 リアハッチダンパー リアゲートダンパー ジムニーシエラ フリーストップ機能 ジムニーアクセサリー バックドアバランサー ツーストップドアオープナー 自由にドア固定 バックドア固定 ドアパンチ対策 サポートダンパー 油圧ダンパー 純正交換 ドアプロテクター付き,,,8170.0,0,safe,,
B0FK56ZJCN,b-B0FK56ZJCN-20251127193846,ドラゴンボール Sparking! ZERO -Switch2,,,9050.0,0,safe,,
B086WC17K5,b-B086WC17K5-20251127193846,タオル研究所 [ボリュームリッチ] #003 バスタオル スモーキーブルー 4枚セット ホテル仕様 厚手 ふかふか ボリューム 高速吸水 耐久性 綿100% 480GSM JapanTechnology,,,3920.0,0,safe,,
B0DSH351TL,b-B0DSH351TL-20251127193845,ケンウッド(Kenwood)前方撮影ドライブレコーダー DRV-R30S 3年 日本製 HDR搭載 昼夜問わず鮮明な録画を実現,,,17210.0,0,safe,,
B08D6N6BZJ,b-B08D6N6BZJ-20251127193844,Laundrin ランドリン 【2個セット】 柔軟剤 特大容量 クラシックフローラル 詰め替え 3倍サイズ 1440ml 2個セット,,,3860.0,0,safe,,
